sql_stmt_seq,conflict_or_where_key,source_csv_row
252,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row9 PRD_000153→Y
253,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row10 PRD_000154→Y
254,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row11 PRD_000155→Y
255,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row12 PRD_000156→Y
256,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row13 PRD_000164→Y
257,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row14 PRD_000118→Y
258,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row15 PRD_000119→Y
259,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row16 PRD_000120→Y
260,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row17 PRD_000121→Y
261,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row18 PRD_000122→Y
262,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row19 PRD_000123→Y
263,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row20 PRD_000124→Y
264,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row21 PRD_000125→Y
265,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row22 PRD_000126→Y
266,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row23 PRD_000127→Y
267,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row24 PRD_000128→Y
268,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row25 PRD_000138→Y
269,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row26 PRD_000139→Y
270,UPDATE WHERE prd_cd[+key],thickness_update.csv:row2 PRD_000146 MAT_000192→MAT_000043
