prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,dflt_yn
PRD_000064,SIZ_000043,80x80,15,1000,15,Y
PRD_000064,SIZ_000061,50x70,,,,Y
PRD_000064,SIZ_000062,70x50,,,,Y
PRD_000064,SIZ_000063,50x94,24,1000,24,Y
PRD_000064,SIZ_000064,94x50,24,1000,24,Y
PRD_000064,SIZ_000065,65x65,24,1000,24,Y
PRD_000065,SIZ_000068,75x110,,,,Y
PRD_000066,SIZ_000212,정사각10x10mm(8EA),,,,Y
PRD_000066,SIZ_000213,정사각15x15mm(8EA),,,,Y
PRD_000066,SIZ_000214,정사각20x20mm(6EA),,,,Y
PRD_000066,SIZ_000215,정사각25x25mm(3EA),,,,Y
PRD_000066,SIZ_000216,정사각30x30mm(2EA),,,,Y
PRD_000066,SIZ_000217,정사각35x35mm(2EA),,,,Y
PRD_000066,SIZ_000218,정사각40x40mm(2EA),,,,Y
PRD_000066,SIZ_000219,정사각45x45mm(1EA),,,,Y
PRD_000066,SIZ_000220,정사각50x50mm(1EA),,,,Y
PRD_000066,SIZ_000221,정사각55x55mm(1EA),,,,Y
PRD_000066,SIZ_000222,정사각60x60mm(1EA),,,,Y
PRD_000066,SIZ_000223,정사각90x90mm(1EA),,,,Y
PRD_000066,SIZ_000224,직사각35x25mm(2EA),,,,Y
PRD_000066,SIZ_000226,직사각40x30mm(2EA),,,,Y
PRD_000066,SIZ_000228,직사각42x20mm(2EA),,,,Y
PRD_000066,SIZ_000230,직사각50x20mm(2EA),,,,Y
PRD_000066,SIZ_000232,직사각50x30mm(2EA),,,,Y
PRD_000066,SIZ_000234,직사각55x15mm(2EA),,,,Y
PRD_000066,SIZ_000236,직사각55x20mm(2EA),,,,Y
PRD_000066,SIZ_000238,직사각55x24mm(2EA),,,,Y
PRD_000066,SIZ_000240,직사각55x33mm(2EA),,,,Y
PRD_000066,SIZ_000242,직사각90x40mm(2EA),,,,Y
PRD_000066,SIZ_000244,직사각90x50mm(1EA),,,,Y
PRD_000066,SIZ_000245,직사각90x60mm(1EA),,,,Y
