comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,clr_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price,dim_vals
22410,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,180.00,200.00,30700.00,
22411,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,200.00,200.00,32700.00,
22412,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,40.00,2400.00,
22413,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,50.00,2560.00,
22414,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,70.00,2880.00,
22415,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,80.00,3040.00,
22416,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,90.00,3200.00,
22417,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,20.00,100.00,3360.00,
22418,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,60.00,3200.00,
22419,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,90.00,4000.00,
22420,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,30.00,100.00,4240.00,
22421,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,70.00,4080.00,
22422,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,40.00,90.00,4720.00,
22423,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,50.00,60.00,4240.00,
22424,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,80.00,6480.00,
22425,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,70.00,90.00,7040.00,
22426,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000042,,,,,,,,1,80.00,90.00,7840.00,
38922,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,20.00,60.00,3400.00,
38923,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,20.00,2700.00,
38924,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,50.00,3700.00,
38925,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,30.00,80.00,4700.00,
38926,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,20.00,3000.00,
38927,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,30.00,3400.00,
38928,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,40.00,100.00,6400.00,
38929,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,20.00,3200.00,
38930,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,40.00,4200.00,
38931,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,80.00,6400.00,
38932,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,100.00,7400.00,
38933,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,120.00,8400.00,
38934,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,30.00,4000.00,
38935,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,50.00,5300.00,
38936,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,120.00,9900.00,
38937,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,20.00,3600.00,
38938,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,30.00,4300.00,
38939,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,40.00,5100.00,
38940,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,20.00,3800.00,
38941,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,40.00,5500.00,
38942,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,60.00,7200.00,
38943,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,70.00,8100.00,
38944,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,100.00,10600.00,
38945,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,140.00,13800.00,
38946,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,160.00,15400.00,
38947,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,20.00,4000.00,
38948,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,30.00,5000.00,
38949,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,40.00,5900.00,
38950,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,60.00,7800.00,
38951,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,70.00,8800.00,
38952,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,80.00,9800.00,
38953,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,120.00,13700.00,
38954,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,20.00,4200.00,
38955,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,30.00,5300.00,
38956,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,20.00,4600.00,
38957,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,30.00,5900.00,
38958,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,40.00,7400.00,
38959,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,70.00,10900.00,
38960,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,80.00,12200.00,
38961,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,100.00,14700.00,
38962,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,20.00,5000.00,
38963,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,30.00,6500.00,
38964,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,40.00,8400.00,
38965,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,50.00,9400.00,
38966,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,60.00,11300.00,
38967,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,70.00,12300.00,
38968,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,90.00,15700.00,
38969,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,120.00,18700.00,
38970,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,20.00,5400.00,
38971,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,30.00,7100.00,
38972,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,40.00,9400.00,
38973,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,50.00,10400.00,
