category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
03 인쇄홍보물,C25,C,25,alias,→만년스탬프,만년스탬프,exact,만년스탬프,exact,PRD_000217,,,◆교차참조,별칭(→) — 본체 타 카테고리
04 포스터,D25,D,25,product,캔버스행잉포스터,캔버스행잉포스터,exact,실사:캔버스 행잉포스터,exact,PRD_000133,1,Y,✅정상등록가능,라이브 opt=1·price사슬=Y
08 문구,H25,H,25,alias,→아크릴집게,아크릴집게,exact,아크릴집게,exact,PRD_000149,,,◆교차참조,별칭(→) — 본체 타 카테고리
09 아크릴,I25,I,25,product,아크릴코롯토,아크릴코롯토,exact,아크릴:아크릴코롯토,exact,PRD_000164,0,N,🟡신규출시,라이브 존재(PRD_000164)·결손:옵션0/가격사슬X
10 라이프,J25,J,25,section,▶︎여행/아웃도어,여행아웃도어,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
11 에코백,K25,K,25,product,타이벡 플랫 클러치,타이벡플랫클러치,exact,굿즈파우치:타이벡 플랫 클러치,exact,PRD_000248,0,N,🟡신규출시,라이브 존재(PRD_000248)·결손:옵션0/가격사슬X
12 포장,L25,L,25,product,우드행거,우드행거,exact,상품악세사리:우드행거,exact,PRD_000014,0,N,🟡신규출시,라이브 존재(PRD_000014)·결손:옵션0/가격사슬X
01 엽서,A26,A,26,alias,→아크릴 포카스탠드,아크릴포카스탠드,exact,아크릴포카스탠드,exact,PRD_000162,,,◆교차참조,별칭(→) — 본체 타 카테고리
03 인쇄홍보물,C26,C,26,alias,→아크릴명찰,아크릴명찰,exact,아크릴명찰,exact,PRD_000152,,,◆교차참조,별칭(→) — 본체 타 카테고리
04 포스터,D26,D,26,product,린넨 우드봉족자,린넨우드봉족자,exact,실사:린넨 우드봉 족자,exact,PRD_000134,1,Y,✅정상등록가능,라이브 opt=1·price사슬=Y
08 문구,H26,H,26,product,초슬림 마우스패드,초슬림마우스패드,exact,굿즈파우치:초슬림마우스패드,exact,PRD_000210,0,N,🟡신규출시,라이브 존재(PRD_000210)·결손:옵션0/가격사슬X
09 아크릴,I26,I,26,product,아크릴포카코롯토,아크릴포카코롯토,partial,아크릴:포카코롯토,partial,PRD_000165,0,N,🟡신규출시,라이브 존재(PRD_000165)·결손:옵션0/가격사슬X
10 라이프,J26,J,26,product,래더여권케이스,래더여권케이스,alias,굿즈파우치:레더여권케이스,alias,PRD_000196,0,N,🟡신규출시,D-4 명명변형(오타 래더/레더) 재분류: 라이브 PRD_000196 opt0/priced=0
12 포장,L26,L,26,product,와블러,와블러,none,,none,,,,❌미출시,데이터시트 0 AND 라이브 0
08 문구,H27,H,27,product,장패드,장패드,exact,굿즈파우치:장패드,exact,PRD_000211,0,N,🟡신규출시,라이브 존재(PRD_000211)·결손:옵션0/가격사슬X
09 아크릴,I27,I,27,product,아크릴쉐이커코롯토,아크릴쉐이커코롯토,exact,굿즈파우치:아크릴쉐이커코롯토,exact,PRD_000226,0,N,🟡신규출시,라이브 존재(PRD_000226)·결손:옵션0/가격사슬X
10 라이프,J27,J,27,product,말랑여권케이스,말랑여권케이스,exact,굿즈파우치:말랑여권케이스,exact,PRD_000225,0,N,🟡신규출시,라이브 존재(PRD_000225)·결손:옵션0/가격사슬X
11 에코백,K27,K,27,section,▶︎메쉬파우치,메쉬파우치,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
12 포장,L27,L,27,product,볼체인,볼체인,exact,상품악세사리:볼체인,exact,PRD_000006,0,N,🟡신규출시,라이브 존재(PRD_000006)·결손:옵션0/가격사슬X
08 문구,H28,H,28,product,틴케이스,틴케이스,exact,굿즈파우치:틴케이스,exact,PRD_000213,0,N,🟡신규출시,라이브 존재(PRD_000213)·결손:옵션0/가격사슬X
10 라이프,J28,J,28,alias,→아크릴네임택,아크릴네임택,exact,아크릴네임택,exact,PRD_000157,,,◆교차참조,별칭(→) — 본체 타 카테고리
11 에코백,K28,K,28,product,메쉬슬림파우치,메쉬슬림파우치,exact,굿즈파우치:메쉬슬림파우치,exact,PRD_000249,0,N,🟡신규출시,라이브 존재(PRD_000249)·결손:옵션0/가격사슬X
12 포장,L28,L,28,product,와이어링,와이어링,exact,상품악세사리:와이어링,exact,PRD_000007,0,N,🟡신규출시,라이브 존재(PRD_000007)·결손:옵션0/가격사슬X
08 문구,H29,H,29,alias,→아크릴볼펜,아크릴볼펜,exact,아크릴볼펜,exact,PRD_000155,,,◆교차참조,별칭(→) — 본체 타 카테고리
09 아크릴,I29,I,29,section,▶︎액세서리,액세서리,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
