sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
MAP,cell,13,Y13,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,Z13,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,A14,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,B14,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,C14,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,D14,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,E14,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,F14,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,G14,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,H14,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,I14,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,J14,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,K14,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,L14,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,M14,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,N14,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,O14,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,P14,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,Q14,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,R14,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,S14,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,T14,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,U14,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,V14,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,W14,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,X14,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,Y14,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,14,Z14,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,A15,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,B15,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,C15,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,D15,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,E15,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,F15,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,G15,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,H15,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,I15,09 아크릴,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,J15,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,K15,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,L15,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,M15,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,N15,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,O15,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,P15,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,Q15,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,R15,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,S15,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,T15,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,U15,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,V15,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,W15,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,X15,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,Y15,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,15,Z15,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,16,A16,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,16,B16,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,16,C16,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,16,D16,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,16,E16,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
