prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000064,소량자유형스티커,SIZ_000061,50x70,307x430,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000065,65x65,307x430,,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000062,70x50,307x430,,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000043,80x80,316x467,,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000064,94x50,307x430,,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000036,94x94,316x467,,PRD_TYPE.04,Y,N
PRD_000065,스티커팩,SIZ_000068,75x110,330x470,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000066,합판도무송스티커,SIZ_000225,45x63,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000229,52x53,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000210,55x55,,,PRD_TYPE.04,Y,N
PRD_000066,합판도무송스티커,SIZ_000231,60x53,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000148,60x60,316x467,,PRD_TYPE.04,Y,N
PRD_000066,합판도무송스티커,SIZ_000233,60x73,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000239,65x61,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000241,65x79,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000065,65x65,307x430,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000235,65x43,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000237,65x53,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000211,70x70,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000203,72x46,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000207,73x40,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000227,73x50,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000205,77x53,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000204,79x43,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000208,83x45,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000206,91x35,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000209,93x50,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000113,100x100,316x467,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000147,100x60,316x467,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000243,100x50,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000246,100x70,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000248,100x80,,,PRD_TYPE.04,N,N
PRD_000066,합판도무송스티커,SIZ_000017,100x90,316x467,,PRD_TYPE.04,N,N
PRD_000067,타투스티커,SIZ_000060,90x190,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000068,중철책자,SIZ_000250,150x214,,,PRD_TYPE.04,N,N
PRD_000068,중철책자,SIZ_000252,213x303,,,PRD_TYPE.04,N,N
PRD_000068,중철책자,SIZ_000251,300x214,,,PRD_TYPE.04,N,N
PRD_000068,중철책자,SIZ_000181,426x303,316x467,,PRD_TYPE.04,N,N
