comp_cd,apply_ymd,from_siz_cd,to_siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,old_comp_price_id
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",4500,200.00,1109
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",5,1700.00,945
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",50,750.00,997
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",500,260.00,1049
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",5000,200.00,1113
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",6,1500.00,949
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",60,680.00,1001
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",600,250.00,1053
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",6000,200.00,1117
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",7,1300.00,953
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",70,610.00,1005
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",700,240.00,1057
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",7000,200.00,1121
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",8,1200.00,957
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",80,540.00,1009
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",800,240.00,1061
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",8000,200.00,1125
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",9,1100.00,961
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",90,470.00,1013
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",900,230.00,1065
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",9000,190.00,1129
COMP_PRINT_DIGITAL_S2,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000002,"","","",1,5000.00,928
