comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,80,5700.00,권위 스티커 r25 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,25
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,90,5700.00,권위 스티커 r26 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,26
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,100,5700.00,권위 스티커 r27 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,27
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,120,5700.00,권위 스티커 r28 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,28
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,125,5700.00,권위 스티커 r29 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,29
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,140,5700.00,권위 스티커 r30 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,30
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,150,5700.00,권위 스티커 r31 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,31
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,160,5700.00,권위 스티커 r32 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,32
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,175,5500.00,권위 스티커 r33 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,33
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,180,5500.00,권위 스티커 r34 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,34
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,200,5300.00,권위 스티커 r35 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,35
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,250,5100.00,권위 스티커 r36 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,36
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,300,4900.00,권위 스티커 r37 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,37
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,350,4700.00,권위 스티커 r38 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,38
