source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,스티커,,원형 40mm (2EA),"{""work"": ""93 x 50"", ""cut"": ""93 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 45mm (1EA),"{""work"": ""55 x 55"", ""cut"": ""55 x 55""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 50mm (1EA),"{""work"": ""60 x 60"", ""cut"": ""60 x 60""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 55mm (1EA),"{""work"": ""65 x 65"", ""cut"": ""65 x 65""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 60mm (1EA),"{""work"": ""70 x 70"", ""cut"": ""70 x 70""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 10 x 10mm (8EA),"{""work"": ""72 x 46"", ""cut"": ""72 x 46""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 15 x 15mm (8EA),"{""work"": ""79 x 43"", ""cut"": ""79 x 43""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 20 x 20mm (6EA),"{""work"": ""77 x 53"", ""cut"": ""77 x 53""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 25 x 25mm (3EA),"{""work"": ""91 x 35"", ""cut"": ""91 x 35""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 30 x 30mm (2EA),"{""work"": ""73 x 40"", ""cut"": ""73 x 40""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 35 x 35mm (2EA),"{""work"": ""83 x 45"", ""cut"": ""83 x 45""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 40 x 40mm (2EA),"{""work"": ""93 x 50"", ""cut"": ""93 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 45 x 45mm (1EA),"{""work"": ""55 x 55"", ""cut"": ""55 x 55""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 50 x 50mm (1EA),"{""work"": ""60 x 60"", ""cut"": ""60 x 60""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 55 x 55mm (1EA),"{""work"": ""65 x 65"", ""cut"": ""65 x 65""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 60 x 60mm (1EA),"{""work"": ""70 x 70"", ""cut"": ""70 x 70""}",mm,작업/재단(완제 디스플레이)
master,스티커,,정사각 90 x 90mm (1EA),"{""work"": ""100 x 100"", ""cut"": ""100 x 100""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 35 x 25mm (2EA),"{""work"": ""45 x 63"", ""cut"": ""45 x 63""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 40 x 30mm (2EA),"{""work"": ""73 x 50"", ""cut"": ""73 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 42 x 20mm (2EA),"{""work"": ""52 x 53"", ""cut"": ""52 x 53""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 50 x 20mm (2EA),"{""work"": ""60 x 53"", ""cut"": ""60 x 53""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 50 x 30mm (2EA),"{""work"": ""60 x 73"", ""cut"": ""60 x 73""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 55 x 15mm (2EA),"{""work"": ""65 x 43"", ""cut"": ""65 x 43""}",mm,작업/재단(완제 디스플레이)
master,스티커,,직사각 55 x 20mm (2EA),"{""work"": ""65 x 53"", ""cut"": ""65 x 53""}",mm,작업/재단(완제 디스플레이)
