product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14546,합판도무송스티커,,20,151,,,,,정사각 55 x 55mm (1EA),,,65 x 65,65 x 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,21,152,,,,,정사각 60 x 60mm (1EA),,,70 x 70,70 x 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,22,153,,,,,정사각 90 x 90mm (1EA),,,100 x 100,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,23,154,,,,,직사각 35 x 25mm (2EA),,,45 x 63,45 x 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,24,155,,,,,직사각 40 x 30mm (2EA),,,73 x 50,73 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,25,156,,,,,직사각 42 x 20mm (2EA),,,52 x 53,52 x 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,26,157,,,,,직사각 50 x 20mm (2EA),,,60 x 53,60 x 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,27,158,,,,,직사각 50 x 30mm (2EA),,,60 x 73,60 x 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,28,159,,,,,직사각 55 x 15mm (2EA),,,65 x 43,65 x 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,29,160,,,,,직사각 55 x 20mm (2EA),,,65 x 53,65 x 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,30,161,,,,,직사각 55 x 24mm (2EA),,,65 x 61,65 x 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,31,162,,,,,직사각 55 x 33mm (2EA),,,65 x 79,65 x 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,32,163,,,,,직사각 90 x 40mm (2EA),,,100 x 50,100 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,33,164,,,,,직사각 90 x 50mm (1EA),,,100 x 60,100 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
