prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000053,반칼 자유형 투명스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,8,10000,8,1,4,10000,4,,,,FILL,
PRD_000053,반칼 자유형 투명스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,8,10000,8,1,2,10000,2,,,,FILL,
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,8,10000,8,1,4,10000,4,,,,FILL,
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,8,10000,8,1,2,10000,2,,,,FILL,
PRD_000055,낱장 자유형 스티커,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000056,낱장 자유형 투명스티커,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000057,대형 자유형 스티커,SIZ_000199,400 x 600 mm,400x600,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000058,반칼원형스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,4,10000,4,1,4,10000,4,,,,SKIP,
PRD_000058,반칼원형스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,4,10000,4,1,2,10000,2,,,,FILL,
PRD_000059,반칼정사각스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,4,10000,4,1,4,10000,4,,,,SKIP,
PRD_000059,반칼정사각스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,4,10000,4,1,2,10000,2,,,,FILL,
PRD_000060,반칼직사각스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,4,10000,4,1,4,10000,4,,,,SKIP,
PRD_000060,반칼직사각스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,4,10000,4,1,2,10000,2,,,,FILL,
PRD_000061,반칼띠지스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,4,10000,4,1,4,10000,4,,,,SKIP,
PRD_000061,반칼띠지스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,4,10000,4,1,2,10000,2,,,,FILL,
PRD_000062,반칼팬시스티커,SIZ_000058,100 x 140 mm,100x140,8,10000,8,8,10000,8,1,8,10000,8,,,,SKIP,
PRD_000062,반칼팬시스티커,SIZ_000059,124 x186 mm,124x186,4,10000,4,8,10000,8,1,4,10000,4,,,,FILL,
PRD_000062,반칼팬시스티커,SIZ_000060,90 x 190 mm,90x190,6,10000,6,8,10000,8,1,6,10000,6,,,,FILL,
PRD_000063,반칼팬시투명스티커,SIZ_000059,124 x186 mm,124x186,4,10000,4,8,10000,8,,4,10000,4,,,,FILL,
PRD_000063,반칼팬시투명스티커,SIZ_000060,90 x 190 mm,90x190,6,10000,6,8,10000,8,,6,10000,6,,,,FILL,
PRD_000064,소량자유형스티커,SIZ_000061,50 x 70 mm,50x70,32,1000,32,32,1000,32,,32,1000,32,,,,SKIP,
PRD_000064,소량자유형스티커,SIZ_000062,70 x 50 mm,70x50,32,1000,32,32,1000,32,,32,1000,32,,,,SKIP,
PRD_000064,소량자유형스티커,SIZ_000063,50 x 94 mm,50x94,24,1000,24,32,1000,32,,24,1000,24,,,,FILL,
PRD_000064,소량자유형스티커,SIZ_000064,94 x 50 mm,94x50,24,1000,24,32,1000,32,,24,1000,24,,,,FILL,
PRD_000064,소량자유형스티커,SIZ_000065,65 x 65 mm,65x65,24,1000,24,32,1000,32,,24,1000,24,,,,FILL,
PRD_000064,소량자유형스티커,SIZ_000043,80 x 80 mm,80x80,15,1000,15,32,1000,32,,15,1000,15,,,,FILL,
PRD_000064,소량자유형스티커,SIZ_000036,94 x 94 mm,94x94,12,1000,12,32,1000,32,,12,1000,12,,,,FILL,
PRD_000065,스티커팩,SIZ_000068,75 x 110 mm,75x110,1,1000,1,1,1000,1,54,54,1000,1,,,,SKIP,권위min 1 < 가격표최소구간 54
PRD_000066,합판도무송스티커,SIZ_000212,원형 10mm (8EA),정사각10x10mm(8EA),1000,5000,1000,1000,5000,1000,1000,1000,5000,1000,,,,SKIP,
PRD_000067,타투스티커,SIZ_000060,90 x 190 mm,90x190,3,1000,3,3,1000,3,3,3,1000,3,,,,SKIP,
PRD_000100,포토북 [디자인명],SIZ_000269,8 x 8 (200 x 200 mm),8x8(200x200mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000100,포토북 [디자인명],SIZ_000274,10 x 10 (250 x 250 mm),10x10(250x250mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000100,포토북 [디자인명],SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000100,포토북 [디자인명],SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000078,70 x 200 mm (50장),70x200mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000079,80 x 100 mm (50장),80x100mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000080,80 x 120 mm (50장),80x120mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000081,80 x 180 mm (50장),80x180mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000082,90 x 120 mm (50장),90x120mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000083,100 x 100 mm (50장),100x100mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000084,100 x 200 mm (50장),100x200mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000085,110 x 160 mm (50장),110x160mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
