mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000120	매직터치(백색) 250g	MAT_TYPE.01				316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000121	켄도 250g	MAT_TYPE.01				316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000122	띤또	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:44:54.703346	Y	2026-06-16 18:44:54.716142
MAT_000123	띤또레또 200g	MAT_TYPE.01	MAT_000122			464.00	320.00		200.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000124	띤또레또 250g	MAT_TYPE.01	MAT_000122			464.00	320.00		250.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000125	한지 170g	MAT_TYPE.01				316.00	467.00		170.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000126	스코트랜드 220g	MAT_TYPE.01				316.00	467.00		220.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000127	스타드림(다이아몬드) 240g	MAT_TYPE.01				316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000128	스타드림(실버) 240g	MAT_TYPE.01				316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000129	스타드림(골드) 240g	MAT_TYPE.01				316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000130	스타드림(로즈쿼츠) 240g	MAT_TYPE.01				316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000131	인바이런먼트 아이론 352g	MAT_TYPE.01							352.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000132	그문드컬러매트 블루300	MAT_TYPE.01							300.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000133	마테리카 클레이 360g	MAT_TYPE.01							360.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000134	마테리카테라로사360	MAT_TYPE.01							360.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000135	리메이크스카이380	MAT_TYPE.01							380.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000136	뉴에코블랙 400g	MAT_TYPE.01				316.00	467.00		400.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000137	큐리어스스킨 화이트 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000138	큐리어스스킨 레드 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000139	큐리어스스킨 다크블루 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000140	큐리어스스킨 바이올렛 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000141	큐리어스스킨 블랙 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000142	유니크라프트 260g	MAT_TYPE.01				316.00	467.00		260.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000143	투명	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:31:57.82267	Y	2026-06-16 18:31:57.830258
MAT_000144	투명 PET 260g	MAT_TYPE.01	MAT_000143			315.00	467.00		260.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000145	투명 PET 350g	MAT_TYPE.01	MAT_000143			315.00	467.00		350.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000146	반투명	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:28:32.513027	Y	2026-06-16 18:28:32.527219
MAT_000147	반투명 PET 260g	MAT_TYPE.01	MAT_000146			315.00	467.00		260.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000148	반투명 PET 350g	MAT_TYPE.01	MAT_000146			315.00	467.00		350.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000149	아이보리 300g	MAT_TYPE.01				316.00	467.00		300.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000150	뉴크라프트 250g	MAT_TYPE.01				316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000151	팬시크라프트 120g	MAT_TYPE.01				316.00	467.00		120.00		Y		2026-06-03 12:46:02.974607		N	
