group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
POSTER,900,4500,900x4500,NONE,,메쉬현수막;일반현수막
POSTER,900,5000,900x5000,REVERSED,SIZ_000322,메쉬현수막;일반현수막
POSTER,1000,600,1000x600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,800,1000x800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,900,1000x900,NONE,,메쉬현수막;일반현수막
POSTER,1000,1000,1000x1000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,1200,1000x1200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,1400,1000x1400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,1600,1000x1600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,1800,1000x1800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1000,2000,1000x2000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
